English,Mundari
Can you guess why the government could not take this step?,चिनअः अपे अंदाजपे लगाओ दड़िआ चि सरकार चिकाते चंडङ काए उठओ दड़ितेआ ?
The British also had no ready answers to these questions.,विलायति होड़ोको तअःरेओ ने सवाल रेअः जेतन बइ बइअकन रेअः जबाब का तईकेना।
"""What are these people doing?",निकु चेनअःको कमितना ?
Only brave people can tame these animals.,इनकुदो बिरुडुको एनड. कबुकोत्र्प्र।
"This year, I might hold the stick, next year, I might not even be able to straighten my back.",ने सिरमागे जाअः सोटाइङ सबअ; कलोमकोतेदो मयङओ का जाअःइङ सो‘जे दड़िअ; पुरअः-गेङ लुकुद् लुकुदाअ।
"You will fight for a piece of land, but you will spend more than you can buy. ""","मोद् बिता ओते नङबेन लड़इअ; मेनदो एन ओते'ते लाअःगे किरिङ दड़िओः इमिनङबेन करचाएअ।"""
Chagani - Even today I will sing. Will we stop singing the song saying that we found the bear yesterday?,"चगानि - तिसिङओ, नाव दुरइएअ। होला बुड़िबु नमकिःअ एना मेनते दुरङ चि होकाएअ?"
"Savita said - Hey, is halwa being made here?","सबिता कजि केदा- अरे, नेतअः रेदो हलवा बइओ तना"
Kosa: Te miad sona didi apir aur lena aad baran medking patalpur tey: idikeda.,किसी तरफ से एक सोना गिद्ध उड़ के आया और दोनों आंखों को पातालपुर में उड़कर ले गया।
The bunch of hair was moving - dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu: dalu,"दोचोद् एकेलातना,-दलुः दलुः, दलुः दलुः, दलुः दलुः दलुः दलुः।"
"You'll get those men tomorrow, and I'll give you two more.","एन होड़ोको गपागेम अउकेकोरे, ओड़ोः अर गनडाइङ ओमअमेअ।"
"I also salute all the political parties, where we have concluded yesterday's session of Parliament by taking important decisions to take the nation forward on a strong platform of consensus.","सोबेन राजनितिक गोट कोके होओ जोआर दरोमाइङ रिका कोआ, ओकता जपागर रेआ केटे ओते दिसुम रे आबु राष्ट्र के अयर ते इदि रेआ जरुड़ु सलाहा को के रिका - रिका केयाते आबु संसद रआ होला रआ सत्र रआ टुडु रिका केदा।"
"By pulling the chain, passengers unnecessarily stop the train anywhere, causing heavy losses to the railways.","सिकड़ी (जंजीर) रचअः केअते यात्री को जअतअ रेगे बेगर मुन्डी रअः गाडि को तिंगुयाको, एनाते रेलवे के पुरअःगे हानि उठाओ होबओःआ।"
Now I am warned that I will sow only if a ghost makes me mad in two fields with low moisture.,नाअः दोइङ चेतवजना; दअः मेद्रे सोरोएः लोयोङ जा बोगा बलुकिःइङरे एनङइङ हेरजेटेअ।
"I am very happy to see that in a very short time, more than two and a half thousand youth have come forward to do this work.",अइंञ के नेआ लेल केआते पुराः गे सुकु किञः चि पुराः गे कोम सोमय रे दाई हजाराः ते सांगि धंगड़ा को नआ कमि को रिका मेनते अयर को हिजुः जना।
Some of the medicinal uses of amla are as follows.,"मेरेल राः हुडिंग रानुआन् कमि रे, अगु नेका मेनाः।"
Dharma fell into a deep sleep.,धरम खुब दुडुम जना।
"Now, you must have also noticed that all our festivals are celebrated according to the time-table of nature.",नअः नेअः ओग लेल ओबाओ चि अबुअः सोबेन नेग परब प्रकृति रेअः समए सकम नेकाते सेसेन तना।
Risa Munda had two children.,रिसा मुण्डाअ बर होड़ो: होन किङ तइ केना।
"Brothers and sisters, I believe that no power in the world can stop our great country from scaling new heights of development and progress.","हागा ओड़ो: मिसी को , अञ् पतिआ तना चि गोटा दिसूम रेआ जान पेड़े:ए अबुआ महान दिसूम रेआ विकास ओड़ो: तरक्की रेआ नवा उचाई नम् रे काको रोकाओ दाड़िआ ।"
"Then again, the grandchild asks - ""Oh, Grandmother, you did not tell me about what I asked?""","एनते ओड़ोःगे पउदा कुलितना-अते, अजि, अइङ कुलिकेदमेअःदो काम कजिकेदा ?’’"
"Mayur Patil - Sir, on the motorcycle we tested, its mileage was 25 Kilometers per liter, we increased it to 39 Kilometers per liter, so there was an advantage of about 14 kilometers and out of that, carbon emissions of 40 percent were reduced.","मयूर पाटिल - गोमके, मोटर साइकिल रे अले टेस्ट केदाले एनारअः माइलेज तइकेना हिसि मोड़े किलो मीटर परलीटर एना अले बढ़व केदाले हिसि गेल अरेआ किलो मीटर परलीटर दो ओनमोन गेलउपुन किलो मीटर रअः फायदा होबा जना ओड़ोः एना एते बर हिसि प्रतिशत रअः Carbon emissions कोम जना।"
"Hey, hey, hey.","हाँ, मैं पाल सकता हूँ।"
"In many states, people run date meal campaigns.",चिमिन राइजकोरेन होड़ो तिथि भोजन अभियान / नेडा मंडिजोम अभियान को चलव तना ।
The man said I want to see your mothers.,"तला मङानिः पांडांएः कओ जना , एनाते हुपुड़िङ को कुवर हगा को कजियद् कोआ।"
Tribal movements in various regions of the country against British colonial rule became associated with the national freedom struggle and inspired Indians throughout the country.,ब्रिटिश औपनिवेशिक शासन रेआ खिलाफ दिसुम रआ बिनगा - बिनगा इलाका रे जनजाति कोआ आंदोलन राष्ट्रीय स्वतंत्रता संग्राह ते जोड़ाव जना ओड़ो: सोबेन दिसुम रेन भारतीय कोआ कजि उदुब केकोआए।
The paddy was all tied up and finished.,बाबा को पोटोम चबा केदा।
"The country is fighting on many fronts during this period of Corona, but at the same time, many times the question came to mind that how will my little child-friends pass the time due to staying at home for such a long time.","कोरोना रेयाः नेया कालखंड रे दिसुम इसु ताः मिसा तेः ओपोता तना, ‘ मेनदो निया लोःते, इसु दांड जि रे नेया कुनुली हिजु तना चि निमनाड. जिलिड. सोमए जकेद ओड़ा कोरे ताइन रेयाःते, अञागा हुपुड़िड.-हुपुड़िड. होन-सोंगे कोवाः सोमय चिलकाते पारोम तन तइकेना।"
"About 27 farm ponds were built and due to that the ground water level increased, the water came up.","एनका नेकाते 27 farm ponds को बइ केदा ओड़ो: एना रअ: चलते grond Water level रकब इंदिअ:कना, दअ: चेतन ते हिजुः तना।"
"And even before they could reach, Budhu Bhagat would walk away from the village.",आद् इनकु तेबअए सिदा रेगे हातुअ ते परका कनेः तइना।
"Just recently, when I heard the story of Bhairavganj Health Centre in West Champaran district of Bihar in the media, I felt so good that I cannot help telling you.","नआ सिदा दिपिला, मीडिया रे बिहार रअः सिंगि डुबुई चौपाराण जिला रअः भैरवगंज हेल्थ सेंटर रअः कहनि जव अइंञेः अयुम केदा अइंञ इयिन सुगाड़ाञ अटकर केदा चि अइंञ अपे के उदुव गेगर तइन का दड़ि जना।"
This method later became known as Braille script.,नेअ सेंड़ा गे तयोम ते ब्रेल लिपि को कजि केदा।
"At that time, they did the puja as they found it.",इमतांङ चिलका को नम लअ एन का गेको बोंगा केदा।
"I will go to other houses to ask for a hen, we will worship today.",एटअ: ओड़अ: कोरे सिम असितिङअ; तिसिङगेले बोंगाइ ।
"Ojha: ""Whoever has this happening in their house, tell them how much he feels he can give, then it will be less or better for me.""","देओंड़ां, ""ओकोएअः ओड़अःरे एनका होबाओःतना इनिः कजीका चिमिनङ ओम दड़ि लेकाए अटकरजदा; | एनते मनडिओअ अइङ मेनते पुरअःगे हडिङओअ चि टउकाओअ।"""
Appointed a padaha king for a gotra.,मियद किलि रेन कोअः मियद पड़हा राजाए तिंगु किया।
Chagani - How did this non-tribal do?,चगानि - ने दिकु रजा चिलकाकेदा?
"During the sixth day, the same Brahmin performed the puja.",चठी इमताः एन टुवार होनाः दो एन बमांड़े गे बोंगा केदा।
Nowadays there is not a single birhor in this vicinity.,तिसिङगपादो नेतअःकोरे मिअद् रटि बिरुड़ बंगअःइअ।
He was expressing happiness that his painting on Ramayana had sold for two lakh rupees.,इनिः रसिकान गि अएः के देखव तइकेनए चि रामायण रे बइआकन इनिअः painting बर लाख टका रे अकरिंङ कना।
"Here, the girl'Akarshana Satish'studying in the seventh class has done wonders.","नेताः, एया class रे पढ़ाव तन मइहोन, आकर्षणा सतीश दो कमाल रिका केदा।"
Am I going to be so fooled?,त्र्प्रमिनडगे चिड.बेदाना?
The people of Busuadi sat under the shade of the same tree.,बुसुःडी होड़ोको एन दारु उमबुल रेगे को दुब जाना।
It was the month of September.,भादो चण्डुः राअ समयतइ केना।
"Friends, Today, on this occasion, it is very natural for me to remember Lata Mangeshkar ji, Lata Didi.","सोंगेको, तिसिङ ने मोका रे आञके लता मंगेशकर जी, लता दीदी रेआ उड़ु हिजु बेसे स्वाभाविक मेना।"
Tayarbeda - It is a similar experience. Yesterday we heard that not a word was lost from Ruitola.,तयरबेड़ा - एन लेकागे अटकरोःतना । होलाबु अयुमकिःअ मिअद् कजिरे रटि रूइटोलाएते काए लतरजना।
Sokha's talk of going home is starting to take shape.,सोखा दुअरते सेन रअः जगर एटेगोःतना
The people of the Dukhura-Ghasi caste do not do this; they are afraid of the Mundas; so do not be afraid.,दुकुरा - गा'सि जतिको एनकनअः काकोअ : मुनडा होनकोको बोरोअकोअ; एना मेनते अलोपे बोरोएअ ।
"In fact, whatever sorrows and joys are created in this period, songs are made about living.","सारते गे ने दिपलाड. रे जे गे दुकु, सुकु ताइन बाइन तेआ बारे ते दुराड. बाइओआ।"
One reason is lack of awareness about education and the other is the non-indigenous area.,मियद् कारण दो हसादअ: दिसुम रे ओल पढ़वाकन होड़ोको खोम गेआ ओड़ो: एटअ: कारण दो हसादअ: दिसुम रे एटअ: जाति राड़िबाड़ि होड़ोको बङकोअ।
"However, wherever tribals live, the land is often full of rivers, waterfalls, forests, plants, animals, minerals, etc.","एन लेकन आदिवासी कोतअः रेको तइन तना एन्तअः रअः ओते नई, झरना, बिर, दरु को, जनवर को, खनिज एमन कोएते जनव पेरेः कनोगा।"
"In Chapter 12, you will read about these temples.",गेल बरिया कुतुइल (12) रे अपे ने मंदिरको रअः बारे रेपे पड़वएअः ।
"The one who kicked me in the back of the head was saying, ""I didn't kick myself in the head again for the same reason.""","देअरे दलकेनिः मेनजदा, ‘‘अइङओ एना मेनतेगे बो’ःरे काइङ दलकिःअ।’’"
Honkor: Senda: Aa ko chin: Ini: Bugin lekte om dadintan:?,बच्चे की शिक्षा दीक्षा क्या वे ठीक से दे पाते हैं?
"Today, the pace of government schemes has increased.",तिसिङ सरकारी जोजनाको जोरते सेसेनताना।
"They are from Munda Khunt, we are from Pahan Khunt.",इनिःदो मुनडा खुंटुरेन होड़ो; अलेदो पां'ड़ां खूंटुरेनको ।
The entire country was ruled by kings before 1947.,गोटा दिसुम 1947 ई. सिदा रे राजा कोअ राइज तइ केना।
"Tababi Devi, however, created history by winning a silver medal in judo at the Youth Olympics.",मेन्दो तबाबी देवी दो Youth Olympics रे जूडो रे सिल्वर मेडल जितव केआते इतिहासए बइ केदा।
"I express my condolences to them and the state government, the central government, the NDRF, all the organizations are working day and night to reduce the suffering of the citizens and to bring back normalcy as soon as possible.","अञ इनकुअ मेन्ते अञा: जी रेञं दुकु तना ओड़ोः राइज सरकार, केन्द्र सरकार, एन डी आर एफ ने सोबेन संगठन को, होड़ो कोअः बलए चिलका को ओको लेका कमोःआ, सिदा लेकन सोंगड़ा दसा सेकेड़ा चिलका हिजु: रूड़ा बागा, नेआ कोरेअः मेन्ते निदा -सिंगी कमि रेको अचुआ कना।"
They will be friends with him too........................................................................................................................................................................................................................................................,निकुलोओः एनकागेपे सोंगेओ:अ।.. ..... आ'र ने: गे दाङ पाआगु चुटि तेबागोः ताना।
He visited families whose relatives had died.,"इनकिन एन ओड़अः रेन कोलोः किन भेंट केदा, ओकोएअः कुपुल कोअः गोनोए होबा कन तइकेना।"
"He Digital Krishak Shiromani for Farmers The Assam government has decided to reward the first 10 farmers who use digital payments exclusively for the purchase of seeds and fertilizers with Rs 5,000.",इनिः चसा को मेनते Digital Krishak Shiromani असम सरकार नेकन सिदा गेलेआ चसाकोके मोड़ेआ हज़ार टका इनाम एमोओ रअः टनवअकदा ओकोन जंङ ओड़ोः सारा रअःकिरिङ मेनते गोटा लेका digital टका एम् रअः कमि रेको अउ जदा।
Are there any transportation options?,हिजुः सेनोः रेअः सुबिदा मेनअः चि?
"Sometimes there are many things that inspire us, and don't think that all of them inspire the students.","मोसा - मोसा पुरअ: ते जगर को नेका तइन चि एना ते अबु इनितु ओमा बुआ, ओड़ो: नेआ अलोपे उडुःइअ चि नेआ ते ओल पढ्व तन होन को बारि इनितुइ:, ओमा कोन |"
"Raising garlands, bangles, and hair is not forbidden for the people of the Duita-Roman mission, it is forbidden for people of other missions.",डुइता - रुमिन मिसनरेनको मेनते हिसिर सकोम ओड़ोः उब् आसुल का मना'कना; मेनदो एटअः मिसनरेनको मेनते मना'कना ।
Raigad - What else is said by dropping a drop of oil in the urine?,रइगड़ा - रचा दअ रे सुनुम टिपअः केते ओड़ोःदो चेनअः चेनःकोको कजिअ ?
"(h) the rights of settlement and conversion of all forest villages, old habitations, uninspected villages and other villages in the forests, whether registered in revenue villages, notified or not;","(ज) बिर बितर रेअः सोबेन बिर हातुको, पुरना ओड़अः को, का सर्वेक्षित हातुको ओड़ोः एटअः हातुको रेअः तइन ओड़ोः संपरिवर्तन रेअः अधिकार, मेनदो एना राजस्व हातुको रे लेखाबद्ध मेनअः कोअ अधिसूचित मेनअः कोअ च का ;"
What does it mean to eat the right food?,बुगिन जोम-नू रअः चिनअः ओरोतो को मेतअः?
4. Fundamental Rights - The clause containing fundamental rights is also called the'conscience'of the Indian Constitution.,4. मौलिक अधिकार - मौलिक अधिकार वाला खंड भारतीय संविधान रआ ‘अंतरात्मा’ ओ कजिया को।
"In fact, the great Sanskrit poet Kalidasa wrote Meghadutam on the arrival of rain from the month of Ashadha itself.","असल रे, संस्कृत जगर रेन मरङ दुरङ ओल हरिआ कालिदास आसाड़ चण्डु: ते गि जरगि रेअ: एनेटे: रे' 'मेघदुतम्' ओल लिइअ:।"
"Donda - We are not making you weak, be yourself.",डोनडा - काले कोएदेमा; पेड़ेगोःमे ।
"This will not only give impetus to the campaign of self-reliant India, but the country will also become advanced in technology.","नेअः ते आत्मनिर्भर भारत रेअः अभियान रे गति दो हिजुअः, मेनदो दिसुम technology रेओ Advance बइयोअः।"
"Because of this, student inspiration is low, but down becomes a lot.","नेआ रअ: चलते छात्र प्रेरणा दो कोम, मेनदो इसु कोमो: तना ।"
"Friends, there is another inspiring incident from Kashmir, here in Anantnag, the municipal president - Mr. Mohammad Iqbal, he needed a sprayer for sanitization in his locality.","सोंगेको, कश्मीर रे ओड़ोः मियद प्रेरक घटना मेनअः, नेतअः अनंतनाग रे municipal president तनिः - श्रीमान मोहम्मद इकबाल, इनिः, अयअः इलका रेsanitization मेनते sprayer रअः जरूड़ु होबा लेना।"
He caught hold of Liman as he went and took him inside the house.,अद् इनीः केः साब् कीः ची ओड़ाः तेः अदेर किआ ।
"But an email came to my MyGov, and I noticed.","मेनदो अइञअः My Gov रे मियद ई-मेल हिजुः लेना, दो अइञअः देयान सेनोः जना।"
Now let's call the lion in the next baithak.,आबु अयर दुनुब रे सिंह कुला बु राअइअ।
"Ini: a menakada-sankira do ne lekan visuwas, achar vichara, neg dastur, chail cholon, odo: hunarko ge tanah (neko soben jeta aen jati ren hodo hoba koateye nam jada).","उन्होंने कहा है-संस्कृति एक तरह का विश्वास, आचार-विचार, नेग-दस्तूर, चाल-चलन और कुशलता ही है (ये सबकुछ उस जाति के आदमियों के द्वारा रचित रचनाओं से पता चलता हैं)।"
And also inspires us to ensure the unity and integrity of the country.,ओड़ोंः दिसुम रअः उकता अर अखंडता बबइ नङ अबुके प्रोरित बु तना।
"His son is explaining to them, then in response, he is telling him - ""You, Babu, what do you know?","होनते कोड़ा कजि वुजवतना दो, इनिः मेतअइतना, ‘‘अम, बबु, चेनअःअ इतुअना ?"
The Vice President of the Chilean Senate is named Rabindranath Quinteros.,चिलि सेनाते रे Vice President रअः नुतुम रबिंद्रनाथ क्विन्टेरॉस तनअः।
"Then the man of Nagpuria made a pair and said what he said and said to Baliram, ""Wrap it with your clothes and tie it, do not lose it, reach there and hang it in the tent house, it should be thrown while sacrificing the goat.""","एनतेदो नगुरि होड़ो मिअद् जोड़ाए बइकेदा अद् चेनअः चेनअःकोए कजिकेदा, अद् बलिरामए मेतअःइअ, ""नेअ अमअः लिजअःकोलोः पोटोमतम; अलोम अदेअ; हनरे तेबअःजनचि, डेरा ओड़अःरे हका-तमः मेरोमलङ बोंगाइ दिपिलि नेअ गिड़िओःका।"""
We don't have the money.,अलेतः रे पूँजि बनोअः ।
The poor settlements have a weaker service situation than the affluent ones.,किसड़ा टोला रेआ बाराबारी रे रेंगे टोला (गरीबी) रे सेवा रेआ दशा डालेकाले गेआ।
"But they took the task of killing the Pharaohs with a hammer, so they are called the people of the blacksmith caste.",मेनदो पा’ल कोटेः कमिको सब्केदा; एना मेनते बड़ाए जतिको मेनोःतना ।
All together play in the shade of the trees.,सोबेन हुंडि कोआते दरू रेअः उम्बुल रेको इनुङआ।
"Just remember those days, what was the atmosphere. How many people of different backgrounds came to the ground.","हुड़िङ एन दिन मुंड़ि के खेयाल रूवाड़ा लेपे, चिलका हला-जोला ताई केना। रोकोम-रोकोम रेन चिमिनंङ होड़ोको पिड़ि रेको हिजुअ लेना।"
"Look - you know all this right, in no way could I prove you wrong.",लको - ने सोबेनअः असलगेम इतुअना मिद चोकोएः रटि गलतिरे काइड.सबूति केदमेअ।
But my dearly beloved family members.,"मेनदो अञअः दुलाड़ान ओड़अः रेन को,"
"Raigada - Children, many things were said yesterday.","रइगड़ा - कजि, दाना, इसुगे दङ होला कजिजना।"
The body was covered with sweat.,होड़मो बालबाल दाः ते लतपत जना।
"In the Fifth Schedule area, the provisions of the PESA Act were written on stone and carried out with fanfare in every Gram Sabha.",पांचवी अनुसूची क्षेत्र रे पेसा कानून रेअः प्रावधान ढिरि रे ओल केआते मिमियद ग्राम सभा रे धूमधाम ते पत्थलगड़ी रिका कना।
That is why the parents are saying that his marriage should be held in some way this year.,एना मेनतेगे गंगा अपु किङ इनिअः अङ़नदि ने सिरमा जे'लेकातेगे होबओः काकिङ मेनजदा ।
N Halajola ko re raj Gangpur ren aye haga jaati ko zamindar odo thikadar ko isu pura sagid sasati re kela.,उसी के आस पास में उसने देखा कि राज गंगपुर के अपने भाई बन्धुओं को जमीन्दारों और ठीकादारों के द्वारा कई तरह के कष्ट और प्रताड़ना दिया करते थे।
Budhanath was born in the village of Babaikundi near the Shikhar Tamar block.,बुधनाथ शिखर तमाड़ प्रखण्ड जपाः बबैकुंडी हातु रे जोनोम लेना।
I also express my heartfelt gratitude to the Government of Saudi Arabia through'Mann Ki Baat '.,अइङ ' जी रा: जागार' होराते सऊदी अरब सरकार जीआतेञ जोआराइ ताना।
Ini do abua que nani aate pura gaye sugada.,वह तो हमारी रानी से भी अतिसुंदर है।
"As for self-reliance, it will come only when you stand on your own feet. The government, even if you stand like parents, will not always feed you.","तिंगु दो आबु आपानेते तिंगुको एनाङ। सरकार एंगा-आपु लेका तिंगुआकान रेओ जाओ गेदो काए आजोमा, काएः तिः बाड़ाः।"
Wishing everyone a very Happy National Sports Day too.,जोतो को राष्ट्रीय इनुङ दिवस रअःओ इसु पुरअः जोआर रूअड़।
"As part of the further planning, the revolutionary army met Kunwar Singh.",अयर रेअः कमिको रोजोटोअ कद् लेकागे क्रांतिकारी फौद को कुंअर सिंह लोः को नपम जना।
"Through this hashtag, we have to cheer for our players... keep them motivated.","नेअः Hashtag होराते अबु अबुअः खिलाड़ी कोके cheer रिका मेना, इनकुअः रसिका उसकुर कतेअः,"
"Nguri Budu - Yes, Samadhi, most people in this state eat Madua bread ""Holod."" You eat less Madua bread, yes or no?",नगुरि हडम -हे समदि; ने राजिरे पुरअःगे कोदे होलोड.ले जोजोमा। अपे दो कोदे होलोड. पुरअः कापे जोमतना; हे चि का?
They are also formed mostly when they are pushed towards the surface by cracks in the liquid or gaseous state.,नेआ कोरअः बनइओ तिंबा ते एन सोमोय होबाओः तना ओको इमतङ नेआ तरल च गैसीय अवस्था रे दरार कोरअः होरा ते भू-पृष्ठ सअः ते उदुरोःआ।
"Friends, We have to understand our collective responsibilities towards water in the same way.","सोंगेको, दअः रअः इदि केते अबु के ने रोकोम रअः अपन सामूहिक जिम्मेदारी को के बुझावेन होबअःओ।"
3) General Story This is where all the stories are narrated.,3) सोंगाड़ा कानि नेरे गे सोबेन कानि कोए बरनिका कदा।
A person lives easily with a couple of kahachanas like Kannada and Indian or Bengali and Indian or Tamil and Indian or Gujarati and Indian.,मियद् होड़ो कन्नड़ ओड़ोः भारतीय च बंगाली ओड़ोः भारतीय च तमिल ओड़ोः भारतीय च गुजराती ओड़ोः भारतीय लेकन बबरिया उनुरूम को लोःते रबलान गे घड़ि जना।
"Accordingly, grammar books written in Mundari are to be in good number.",एन हिसब ते मुण्डा जगर ते ओल तद व्याकरण पुथि को बेस लेकाओेआ।
"Without their bravery and vigilance, we could not have achieved the impressive feats we have achieved.","अकोवा बहादुरी ओड़ोः सतर्कता बेगर, अबु एन प्रभावशाली उपलब्धी को कबु नाम केद तेया ओकोवा अबु नाम तदा।"
"Ridu's wife - so, Babu will not be there.","रिड़ुनिः-एनकादो, बबु, का होबत्र्प्र्रोत्र्प्र।"
"Now that they are old, two will cost a rupee; no more.",नउअ - नाअःदो पुरनाजना; बरिअ रअः गोनोङ मोद् टका गोनोङ- ओअ; पुरअः दो कागे ।
"According to Mundari literature, there were many ways of living, of nurturing, of nurturing and of many things in our community before about 1830 AD.","मुण्डारी साहिति लेकाते सन् 1830 ई0 हला जोला कोआ ते सिदा रे आबुआ गोट रे चिमिनुड. गे राइन जाइन नेग दस्तुर, आसुल आपासुलेन ओड़ोः जेगे जिनिस को ताइकेना।"
We find confirmation that the Mundari language has definitely spread among the Uraon people.,उराङको रे मुण्डा जगर जरूड़ नेकाते गे परोम लेना मेनेअः पिचा नमोः तना।
Who will drag his feet unnecessarily?,बेगर दरकारे ओकोए कटाए हरेना ?
Politics is always changing.,सियासत सोबेन सोमाए नेद बादिलिआकान तइना।
Bugin Bugin Cheeziko Raja Jome Nue Menteaye: Omai Tana.,वह अच्छी-अच्छी चीजें राजा को खाने-पीने के लिए देती है।
Bando wiped and started playing with the bell.,बंडो पुसि एन टिडिङ ते इनुङ एटेः जना।
"Sometimes physicians dream that a medicine has an effect on a disease, such as a fruit or leaf, not by saying ""I dreamed a bad dream,"" but ""I dreamed a medicine.""","मेद्सोबोः. ओड़ोः मिअद्इङ; उदुबपेतना, अयुमेपे।मिसा मिसा बइदिको, पलना रे‘द् च सकम एमन पलना दुकुरे रनु टोगोअ मेनतेको कुमुइअः एनारे “कुमुसितिरकद् लअःअइङ“ मेनते काको कजिअ, मेनदो रनुइङ कुमुनमअः को मेनेअ, इदुष्डोः चेनअः मेनते एनादो काइङ कजि दडिअ।"
"One day, he came to the same place walking around and smelled a human scent.",मुसिङ हुलङ होनोर बड़ा तनलो एन कुकुरुताः तेबाः केद् चि मेन जदा चि कोसाः रे मनोवा. मनोवागे सोवन जअः इया।
Other family members also drank.,एटअः ओड़अःकोरेनकोदो पिटिका केदा।
"In the midst of all this, remember the mantra of fighting Corona'Dawai bhi-kadai bhi '.",ने सोबेन कोअः तला रे कोरोना ते लड़ाई रअः मोनतोर जरूड़ु गे पहमे पे ‘दवाई भी - कड़ाई भी।
He had eaten two loaves of bread and had fallen asleep.,बारिआ लाद जोमकेआते दुड़ुमउताराकानाएः।
The responsibility of collecting revenue and paying it to the company was handed over to the village headman rather than the zamindar.,माल तसिल जमा मेनते आद् एना कम्पनि के हल रिका मेनते जमीन्दारअः बदलि रे हतुरेन मुखिया को ओमइआ।
The entire village was considered knowledgeable by the people.,गोटा हातु रेन होड़ो कोअ ते सेंड़ान को हिसब किअ।
The mobile phone rang.,मोबाइल कालर ट्यून आयुम रिका केदाएः।
"Two days later, the people of Kutch are also going to celebrate their new year, the Ashadhi Beej.","बरसिङ तयोमतेगे कच्छ रेन होड़ो को अपन:-नावा सिरमा (साल), माने आषाढ़ी बीज यो को मानातिइंअ।"
"Ne Lekan Miyad Umiyan is an exception, Sarti Kami Jabala Tana.",इस तरह का एक प्रसिद्ध अपवाद सत्य काम जाबाल का है।
The Banias become the owners by cheating the people of many villages around this area.,ने होपोर जापाःको रेआ पुराः हातुको हिड़ि होसड़ो के आतेगे बाड़िया को मालिकि को बाइआकाना।
The Sahyadri and the region adjacent to it can also be crossed by ghat or passes.,सहयाद्रि ओड़ोः एनाएते सटावकन टयद् कोकेयो घाट च दर्रा कोए तेगे परोम दड़िओःआ।
Another awardee is Saikhom Surchandra Singh Ji.,मियद् ऐटा: पाराइज जिताव कनि साइखाैम सुरचंद्रा सिंह जी मेनाइञा।
All this was the glory of Anil Bhai's personal relationships.,नेआ सोबेनाः अनिल हागा लोः ताइनोः राः मेनाः।
"Are we going to tell you? """,नाअःरे चिअःबु कजितअः।”
"I remember Mr. Dattopant Thengadi, the father and thinker of the Indian Workers Union, who thought a lot for the workers - on the one hand there was the Maoist-inspired idea that ""the workers of the world unite"" and Dattopant Thengadi said ""the workers come, unite the world.""","अयं जनवगे पहमेअ चि भारतीय मजदूर संघ बइ केनि अद उड़ुतनि इनि कमितनको मेनते पुरअःगे उड़ु बेड़ा केना, एनकागे मइनन दतोपन्त ठेंगड़ी कजि जद् तईकेना-मिद् सअःरे माओवाद ते टोलेन तईकेना चि ‘‘दुनियारेन कमितनको मोदेनपे’’ अद दत्तोपन्त ठेंगड़ी कजि तन तईकेना ‘‘कमितनको हिजुपे, दुनिया के मोदगे बु बइआ’’।"
Post offices have also been alerted for banking services.,चिटि ओडअः के ओ बैंकिंग सेवाको नङ मेनते चिरगला कदा।
"Be it the digital world or the IT profession, this start-up is for them! No, we have to change it according to the needs of India.","चिल्का digital world च IT profession गे नेआ start-up इनकु लइते गे मेनअः! का गे,अबु के दो एनाके भारत रअः जरुरत लेकाते बदलि अगु लगतिड.ा।"
Nege Munda Jagar-Got (Munda language-family) Kajio: Tana.,इसी को मुण्डा भाषा परिवार कहा जाता है।
"After the prayer, everyone enters the classroom.",गोवारि होबा जन चि इतुसई ओड़ाः रेको बोलोआ।
Because Birsa river mountain field spoke for me.,चिअ चि बिरसा गड़ाबुरू ओते अञा मेन्ते कजि लअ।
"In this game, two teams pull a rope in opposite directions.",ने इनुङ रे बरिआ टोलाकिन मियद् पगा के विपरित दिसा रेकिन थउजेआ।
"... that is, he acts with kindness, not for money and any special desire, but for the service of the patient, he is the best doctor.",....यानि धन ओडो जांए खास कामना को इदि केआते का बलकी रोग होडो कोआ सेवा मेनते दया भाव जोगव केयाते कामि तना आए सर्वश्रेष्ठ चिकित्सक ताइना।
"Another man came to lead the way for Haru's daughter, and when asked, Haru said, ""I like your point very much.""","हड़ुअ- होनते कुड़ि मेनते ओड़ोःगे मिअद् होड़ो दुतम मेनतेए हिजुः लेना, अए कुलिकिः चि हड़ु मेनकेदा, ""अमअः कजि कूब्-गेङ सुकुतना ।"
