English,Bhili
"many of the photographs in this exhibition were taken with a mobile camera, and today anyone who has a mobile has become a content creator.",इनीं प्रदर्शनीं मां घणां फोटों ग्राफ मोलेसीमूरां थी लेदेली अन आज तिनां कनें मोल से त्यों एक हमंदयों बणी ग्यों से1
"i'll never back down in hard work, i'm never shy of courage, i'm never afraid to take on challenges, why?","हू मीनत मां वाहल नी री से, हू हिम्मत मां कदी घबराउ नी हू चुनौतियों थी केराक टकरावा वखत नी समकु ,किम।"
the vedas were composed and orally transmitted during this period.,इना समय मा वेदों नी बणावा आने मोखिक रूप हु फैलावा हारू करियु थू |
"if you know an interesting content creator, be sure to nominate them for the national creators award.",कदी तमुं हेवां पिक्सर अन मोबा.लैपटॉप उपर अन मसीण थी असल काम करवा वाळां नें जाणों से ते इलाम हारूं नाम मोकलवों।
"controversially, karpov, the defending champion, was given the opportunity to play in the deciding match directly three days after the conclusion of the three-week tournament.",झगड़ा ना बाद रूप मा पाछला चैंपियन कारपोव ने त्राण हयता ना रमवानु खतम ना त्राण दाहडा बाद थी खैर खर मैच मा रमवानो मौको आली दिदो।
"upon their arrival, a ritual takes place where the leading members of the bride and groom's household are introduced to each other.",हिन्दू अन मुसलमान बेहे दरबारों मा कथक जादा शैली बद्ध थाई ग्यो अन मजो करवा नो एक परिष्कृत रूप मानी जावा लाग्यो |
"after securing a loan from the west bengal government, ray finally completed the film, which was released in 1955 to critical acclaim.",पश्चिम बंगाल सरकार थी करजो लेवा बाद रे ने घणी फिलमों पूरी करी जिनाथी 1955 मा रिहा किसी दिदू अने विशेषकरो ने इनकी तारीफ की
hyder placed the zamorin under house arrest and tortured his finance minister.,हैदर ने जमोरिन ने गायब करी नाएयो अने रुपया पैसा न मंत्री ने घणो तड़पाओ।
"later, anoop also ventured into cinema with the help of ashok.",बाद मा अनूप ने पण अशोक नी मदद थे सिनेमा मा कदम राख्यो |
a huge hub has been created and today we are exporting mobile phones to the world. this is the strength of india.,"एक घणों मोटो केन्द्र बणी ग्यू से अने आज हमु मोबाईल फोन दनिया मां निर्यात करवा लाग्या से , ये भारत नी ताकत से।"
"the continuous effort to increase the acceptability of the corrupt has become a huge challenge for a healthy society, a matter of great concern.","रिश्वतखोरियों की आमी बढवा नो ज्यों लगातार कोसिस साली रीर से ते हादा सामाज हारू घणी मोटी आाफत बणी ग्यों से , घणी मोटी सिंता बणी गी से।"
"chand scored 8 times, roop singh 10, gurmit singh 5, and pinniger once.","चांद ये 8 वखत रूपसिंह ये 10 वखत ,गुरमीत सिंह ये 5 वखत अने पिन्निगर ये एक गोल करियो |"
"that building was quickly secured by police, who had ""reason to believe"" that the gunman had already left the building.",इना मोटा घेरने ने पोलिस से लरत हज़ा हरा करया | जिहू कन भरोहो करवा ना कारण हतो कि बन्दुक वाला पहल खु मोटू घेर सोड देब देलू |
cavities accommodate organs and other structures; cavities contain fluid as potential spaces.,आँखों नी पलक अने कई बनावट नी मिलावट करे से थावानी खाली जगह ना रूप मा आँखों मा अचल से |
"in june 1917, the british government arrested and interned besant.",अशोक ए खुद ना शिला लेख (भाटा पर लखेलो )घणो वस्तार से पण तीन मा तीना पूर्वजो (पुरखा ) नो कई वा त्दो नी से |
"multan was under the control of jalaluddin's son arkali, who harboured fugitives from delhi.",मुल्तान जलालुद्दीन न बेटा अरफली न काबू मा हतो जिनमा दल्ली थी नाठेला ने राखी ले देला।
"the areas he did not see, the villages he did not see.","तिहुनीइलाका आडी कईनोक भाळतो नकी हतो, तिहुना गामुने दी भाळता हता"
"and now within a few days... today, once again, the foundation stone and inauguration of development projects worth more than 80 thousand crore rupees has taken place from jharkhand.",अन हाव थोड़ाक दन ना अंदर आज फेर एक वारी झारखंड थी 80 हजार करोड़ रुपया थी वदारे लागत ना विकास मोटीओजनां नो भाटो गढयों अने उद्घाटन थायो से ।
india had recaptured about 70 percent of the territory.,भारत ने लगभग सत्तर प्रतिसत गजा पर फेर हु कब्जो कर लड़ो थो |
"in the fourth anglo-mysore war, a combined force of british east india company troops supported by the marathas and the nizam of hyderabad defeated tipu.",चौथा आंग्ल-मैसूर लड़ाई म मराठों अने हैदराबाद न निज़ाम नी हारे देवा हारु ब्रिटिश ईस्ट इंडिया कंपनी ने सैनिकों की एक मैको सेना ने टीपू ने हराय ददू।
"but still, i want to tell the countrymen, no matter how many challenges there are, it is in the nature of india to challenge the challenge.","पण फेर पण हू देशवासियों ने केवा मांगू से , परेशानियां केतरी पण किम नी होय पेरशानी ने परेशान करवू, यो हिन्दुस्तान नी आदत मा से।"
"india always wants our neighbouring countries to walk on the path of happiness and peace. peace is our commitment, our values.","भारत हमेशा साहे से के अमारां मेरी वाला देश सुख-शांन्ति नी वाटे साले ,शान्ति ने लेदे अमारा प्रति वदता से, अमारों असल वेवार से।"
"early translators interpreted justin's original phrase as ""bandit's squad,"" but according to raychaudhuri, the original phrase used by justin could mean mercenary, hunter, or robber.","शुरू ना अनुवादको नी जस्टिन नी खास लाईणयो नी व्याख्या डाकू ना दस्ता ,ना रूप मा करी पण राम चौधरी नी अनुसार जस्टिन दवरा उपयोग करेली खास लाइ णयो नो अर्थ भाड़ा ना सैनिक हिकारी केत लुटेरा होई सके |"
"he enrolled about 8,000 children of the musahar caste in the school and also built a large library for them.",तिहंये मसहु जाति नां करीब 8 हजार सौराओं नें ईस्कुल मां दाखिलों करायो।
"according to the dipavamsa and mahavamsa, this woman was devi, the daughter of a merchant.","अशोक ना वखत माँ पाटलिपुत्र घणा रस्ता थी उज्जैन थी जोड़ा यला हुता अने रास्ता मा ,अशोक ना दल ए रूपनाथ मा डे रो नाख्यो होई सके ,त्या तीनू शिला लेख (माता पर लखेलो ) मलियो से |"
"tendulkar started playing cricket at the age of eleven, made his test debut on 15 november 1989 against pakistan at the age of 16 in karachi, and represented mumbai domestically and india internationally for nearly twenty-four years.","तेंदुलकर ने ग्यारे वराह नी उम्र मा ददियो रमवा नू सरू करेलू ते ,कराची मा 16 होले वराह नो हतो तिनदा पाकिस्तान नी हमो 15 नवम्बर 1989 नो टेस मैच रंदा लाग्यो हतो अने मेरे चौबीस वरहू तक तड घेर ना रुपया बंबई अने पुरे देहो या भारत नो और सदस्य बणेला से |"
"he scored only 4 and 1 in the fourth test in madras, where india won the only match of the series.",तिनानी मद्रास मा रमवा वाळा सार टेस्ट मा केवल 4 अन 1 रन बणाया जां पर भारत नी श्रृंखला नी एकमात्र जीत हासिल थाय।
and so i can say today that our path of reforms remains in a way a blueprint of growth.,"अनें इनां हारूं हुँ आज, कुं से कि reforms नों हमारों रस्तो एक प्रकार थी growth नीं blue print बणेंली से।"
"citizens should get dignity of citizen, respect in the life of citizens, no one should ever have to say about delivery that it was my right that i did not get it.","मनखु ने डायग्निटी ऑफ सिटिजन,मनखुना जीवई मा इजतु मळे,डिलीवरी ना सम्बन्धु मा कदिक कईनाने यु केवा नी वात्यु नी आवे के यी ते मारा हक हतो के मने मल्यु नी"
kishore's third marriage was to yogeeta bali and lasted from 1976 to 4 august 1978.,किशोर नी तीसरा विवाह योगिता बाली ती थाई अने 1976 ती 4 अगस्त 1978 हुदी तीना हाथे रही।
some suggested that india should become self-sufficient in every sphere of life as soon as possible.,कईंना लोकुंईं आ रॉय आली भारत नें वेगो थी वेगो जिन्दगी नां हर ईलाका मां जीवेंकरवानुं बणावों जोवे।
"the sensitivity with which we are making decisions towards our transgender society, we are making new laws, we are trying to give them a life of dignity.","अमारा ट्रांसजेंडर समाजनाबारा मा जिहुने होसहमज ना हाते हामी बणावी रिया से, हमु नवा - नवा काईदा बणावीर्या से,तिहुने इजत बु जीवई आळवा हारू हमु कोशिशुकरिर्या से ।"
"today, the young man of 20-25 years, who was a young man of 12-15 years 10 years ago, has seen this change in front of his eyes.","आजे जी 20 -25 वरहु ना जुवानु से, जी 10 वरह पेलखां जेरा 12 -15 वरहनी उमर नो जुवान हतो, तिहुये आपड़ी आंखु ना हमें यु बदलाव देख्यु से"
"kalyani ji: yes sir, we did farming like traditional farming last year.","कल्यांणी जी: हॉं सर हमुये पासलां सालूं वळी धरूदन नी थावा वाळी खेती थी, खेती करीरयां से।"
it is a major source of drinking water for the people of mysore and bangalore.,यूँ मैसूर अने बेंगलोर मा लोगो हारू पीवा नू पाणी नो एक खास साधन से |
and we have also emphasized on the skill development required for this. and we have also set new models in skill development.,अने इना हारू जरूरी skill development उपर पण जोर दे दो सें अने skill development मां पण हमुये नवो मोडल तय करियों से ।
ashoka's own inscriptions are very detailed but make no mention of his ancestors.,एकज मनख ना रूप मा देवा नाम्म्पिया अने अशोक नी ओलखावा मस्की अने गुर्जरों शिला लेखो (भाटा पर लाखेला ) थी थावण थाय से जे राजा नी हारू आ बहु वातो ने बायरे से |
"now that we are going to celebrate 75 years of the constitution, it is very important for us countrymen to emphasize the sense of duty enshrined in the constitution",हाउ जेर अमु सविधान ना ७५ वरेह अमु बणावी रया से तेर सविधान मां बणावेला अधिकार ने भाव उपर जोर देवो घणू जरूरी से।
"madho singh later sought mediation from balaji rao, who himself came from jaipur and persuaded ishwari singh to hand over 4 palaces to madho singh.","माधो सिंह में वाहस फेर बालाजी राव ही मध्यस्थता नी मांग करी, ती खुद जयपुर ही आया अने ईश्वरी सिंह ने राजू कराया के ये माधो सिंह ने 4 बंगला होपी दे |"
"meanwhile, two of his juniors, harbaksh singh and moti sagar, were promoted to lieutenant general and appointed as corps commanders.",इना वचमा तिना से नाना मोती हरबख्श सिंह अने मोती सागर ने लेफ्टिनेंट जनरल ना रूप मा पद नी उन्नति (मोटो पद) करी गी। अने कोर कमांडर ना रूप मा नियुक्त करी दीदी।
"according to the 2nd-century historian appian, chandragupta entered into a marital alliance with the greek ruler seleucus i nicator, leading to speculation that chandragupta or his son bindusara married a greek princess.",जून १९७१ मा ब्रिटिश हरकार ए बेसेंट ने धरी ले दो अने नजर बंद कर देदो |
all of them were successful at the box office.,आ बदा बॉक्स ऑफिस मा आसु रहे।
it was constructed by damming the umiam river in the early 1960s.,इने बणायो 1960 ना भाल वा वाला ई . पेहल खु मा उमियम नदी पर पालो बणावविन कार्यो गयो हतो |
gps devices can also be used as mobility aids.,जी .पी .एस . खबर नो उपयोग अगल बदवा मा मदद ना रूप मा भी करी सके से |
"even today, our children are going out for medical education in our country. they are mostly from middle-class families.",आज पण अमारा देह मा मेडिकल एजुकेशन हारु अमारा सारां बाहरते जाइरियां से। वी वदारे थी वसमावाकां जातियु परिवारु ना से |
i am happy that lakhs of my street vendor brothers and sisters are today attaining new heights by associating with the bank and are becoming partners in the development.,"मनें खुशी से मारां रेहडी-पटरी वाळां लाखों भाई-बुहन आज बैंक नीं हातें जोड़ाईन आपड़ी नवीं ऊसाईंयों नें मेळवीं रियां से, अनें विकास नी दशा मां त्यो भागीदार बणीं रियों से।"
"manekshaw then asked his father to send him to london to study medicine, but his father refused on the grounds that as he was still young, he was already paying for the education of manekshaw's two elder brothers, who were studying engineering in london.","मानेकशा ने तब आपदे पिता /बाथी ई हुने चिकित्सक नी पड़ा ई करवा हरु लन्दन में मोगलवा हरु कडू लेकिन तिने बा /पिता ने इनी आधार पर मना करी देदी ,कितो अभी बच्चा /नानो से वयो पेहला थी ही मानेकशा के २ मोटो भाइयो नी पड़ा ई नो खर्चो उठाने रो से व्यो लंदन माँ इंजीयरिंग का पड़ा ई करो हतो |"
the significance of the holiday declined for a few centuries after this controversy.,इनमा लड़ाई ने कई पुरानी तक छुट्टी नो महत्व कम थई गो।
"nanasaheb had a shrewd brother, raghunathrao, whose ambitions to become the peshwa became disastrous for the maratha empire.",नाना साहब न एक शैतान भाई रघुनाथ राव हतो जिनकी बणावा नी हिम्मत राखे तेर मराठा न राज्य एक घणो नुकसान थाई ग्यो।
becoming familiar with a situation or route makes it much easier for a blind person to walk successfully.,कोई परेशानी अने वात थी जान पहचान थावा थी वगर आँख आदमी हारू आसानी आराम ने चालवा घणो सरल थाई जाहे से |
mostly tribal people live here and the region was under gond kings in ancient times.,वदार भील लोग ये रे से अने यो क्षेत्र जूना जमाना मा गोंड राजाओ ना उंडर मा हता |
"the country is committed to move ahead with a firm resolve by overcoming obstacles, obstacles, challenges.","मुशिकीले, रूकावटे आफते ,तिनान इरावीन एक काठा धारेला नो हाते यो देश सालावा हारू तियार से।"
our sympathies cannot be weakened by the fact that the national movement coincides with hitler's interests.,हमारा अबाल करीने इना काम ने ढीला नही करई से राष्ट्रिय आन्दोलन हिटलर न वसमा हितो हाथे मेल खाय से |
"patel was the first president and founder of ""edward memorial high school"" borsad, today known as jhaverbhai dajibhai patel high school.","पटेल ""एडवर्ड मेमोरियल हाई स्कूल (मोटा स्कूल बोरसद) मा"
"the greco-roman writer plutarch, in his biography of alexander, stated that the nanda king was so unpopular that had alexander tried, he could have easily conquered india.",ग्रीको -रोमन मा लिखनारो प्लूटार्क नी सिकंदर नी जीवनी मा के दू कि नंद राजो एतरो अलोकप्रिय हतो कि सिकंदरी कोशित करतो ते त्यों आराम वो भारत नी जीती सकतो |
he successfully withstood the mongol invasions of india.,इनाई भारत मा मंगोल झगड़ा मा असल तरीका थी इनानी हामे बजाया से।
"the confidence in our minds reaches new heights and this trust of fellow countrymen is not just an intellectual debate, this trust is derived from experience.","हमारा मन मां खुदभरोहो नवी ऊंचाईं पर पुगी जाय से अनें हातीयों देहवासियों नों यो भरोहो खाली कईंनों intellectual debate नीं होए से, यों भरोहा जाणकार थी नकळेलों से।"
"with the raga thus established, the song usually begins with the words.",राग ना इनी जोक एस्थापित थावा नी हाती गीत आम तौर ऊपर शबहो नी हाती सालू थाए से |
"he embarked on an ambitious plan of economic, social, and political reforms.",इनायी आपडी उन्नति हारू समाज ना हुदार हारू राजनेतिक हूदार हारू घणी काठी ओजना व णा वी सुरु करी |
"according to historian dr. dulari qureshi, tipu sultan was a ferocious warrior king and his moves were so swift that it seemed to the enemy that he was fighting on several fronts at the same time.",इतिहासकार डॉ दुलारी कुरेशी ना अनुसार टीपू सुल्तान एक घणो खराब राजा हुतो अने तिनी साल ऐतरी वदार हुती कि वैराने ऐव लागे कि त्या एक ही टीम पर घणा मोर्चा पर लडी रिया से।
"mann ki baat discusses the collective strength, achievements and contribution of the people of the country.",मन नीं वात देश नी भेळी ताकित से। मळवा नी अन जनता घणीं थी आलवानी वात्युं थाये से।
"during a bjp convention in mumbai in november 1995, bjp president advani announced that vajpayee would be the party's prime ministerial candidate in the upcoming elections.",नवंबर 1995 मा मुमई मा एक भाजपा सभा की वखत भाजपा अध्यक्ष आडवाणी ने वचन आल्यू कि आवा वाला अगला चुनाव मा वाजपेयी पार्टी ना प्रधानमंत्री पद हारू उम्मीदवार ओहे।
we express our reverence for every such great man.,ऐवो हर मोटाआदमी नों बदांहमुं आपड़ों मान राखियें से।
"to meet the expenses of the state, aurangzeb ordered an increase in land taxes, which weighed heavily on the hindu jats.","राज्य ना खर्चा ने पूरा करवा हारू औरंगजेब थी भुमिकरो (जमा) माँ वदारो वानो आदेश (हुक्म )आल्यो ,तिनो बोझो हिन्दू जाटो पर घणो वादार पड्यो |"
kalyani ji: women are actively participating in this direction so that they can keep their families safe in the future.,"कल्यांणी जी: बचरों जेहरी सेतण थाइन इनी दसा मां भाग ली रया से, अन भोविस मां आपड़ा परवार नें हकयां राखी से।"
"however, the incident was settled peacefully with a symbolic transfer of a stone to another location, one kilometre away from the disputed site.",फेम कि ऐ वी घटना नो वगडाईलो (विवादित जगा ) थी एक किलोमीटर सेटी एक बीजी जगा पर एक भा टा ने प्रतीकात्मक हस्तांतरण ने हेट साना -साना पूरा तरीका थी निपटा डी रीया से |
"the mughal army later won the battle of tukaroi in 1575, which led to the annexation of bengal and parts of bihar that were under daud khan.",मुग़ल साम्राज्य न जमीन रूप मा ऐ खलो उड़ीसा कर्रा नी राजवंश ना हाथ मा र ई ग्यो से |
"under vajpayee's leadership, the bjp moderated the hindu-nationalist outlook of the jana sangh, emphasising its association with the janata party and expressing support for gandhian socialism.",वाजपेयी ना नेतृत्व माँ भाजपा ने जनता पार्टी ने हाथे आपडासंबंध पर जोर आलता हर आने गांधीवादी समाज वाद हरु समर्थन व्यक्त करता पैक जनसंघ नी हिन्दू राष्ट्रीयवादी दृ ष्टिकोंण को संयत करियु |
then it seems that our direction is right.,तेरां लागतु से के अमारी दशा खरी से ।
"the musahar caste has been an extremely deprived and poor community, and bhim singh ji has focused on the education of the children of this community.",मुसहर एक जात ऐवी से जी घणीं पिसडेली अन गरीब से। अन हेवां समाज नी से। भीमसिंह जी ये इनां समाज नां लोकुं नी भणांई पर आपडों ध्यान दी दो।
anubai was married to venkatrao ghorpade of ichalkaranji and bhiubai was married to abaji naik joshi of baramati.,अनुबाई ना वेवा इचलकरजी ना वेंकट राव घोरपड़े थी थाया हता अने भिउ बाई ना विवा बारामती ना आकार नाइक जोशी ती थाया।
"pather panchali is a semi-autobiographical novel, which describes the growing up of apu, a small boy in a village in bengal.",पथेर पांस पांडव पंसाली एक आदि आत्मकथात्मक उपन्यास से जिनमा बंगाल ना गाँव मा एक नाना सोरा थी अपुना मोटा थवानी वात नो वर्णन करया |
the biggest benefit of this has reached those sections of society when rural roads have been built where no one used to look.,"तिहुनो घणो मोटो लाभ समाज ना तिहु जातियु हुदी हमु मोकळिये से जेरा गांमु मा सड़के वा वणी से, तिहुनी आडी कईनोक भाळतो नकी हतो"
"manekshaw thus joined the 2nd battalion, royal scots, stationed in lahore.",इनी प्रकार मानेकशा लाहौर माँ तैनाव रॉयल स्काट्स नी दूसरी बटालियन में शामिल /सम्मलित थाई ग्यो |
"if you set a direction, go step by step, shoulder to shoulder, no matter what the challenges are,","एक दशा नक्की करीन सालयीं से, हगलें-टगलें मळावींनें, खब्बा थी, खब्बो मळावीनें अन साली पड़यी से, तेर काहटियों केतरी बी होए।"
a still from the life of babur\,बाबर न जीवन नी एक स्थाई
"he sought the assistance of the turks and, to a greater extent, europeans, particularly the portuguese and italians, in procuring arms and artillery.",फिर त्या अने बैरम खान सिकंदर शाह थी निपटवा हारू पंजाब पासा आवी ग्यो से त्या फेर आगाड़ी थाई ग्यो से |
"the author of the inscription, pulakeshin's court poet ravikirtti, equates himself with the famous sanskrit poets bhasa and kalidasa.",भाटा नी ऊपर लख नारो पुलिकेशन नो घेर या रे नारो कवि रविकीर्ति खुद ने जाणियो मानियो संस्कृत कवि भास अने कालिदास नी बराबरी वताड़े से।
manekshaw was promoted to major general on 1 march 1959.,माने कशा ने 1 मार्च 1959 को मुख्य मेजर जनरल ना रूप माँ पदोन्नत /मोटा पद करो ग्यो से |
"shahu adopted the child and after his death in 1749, rajaram ii succeeded him as chhatrapati.",शाहू ने घोरा ने (गोद ) राख लेदो अने 1749 म तीनी मरवा नी बाद राजाराम दुबारा छत्रपति न रूप म उनका राज गद्दी पर बैठा गया।
he could not continue his excellent performance and scored only two half-centuries.,यु आपड़े घणो असल उत्कृष्ट प्रदर्शन कारवा हरु जाटी नथी राखी सके अने तीनायी केवल बै (अर्द्धशतक ) आधा -आधा ५०-५० रन बणावेला |
"the country which has so much youth power, the country which has this potential within it, we want to go ahead with great strength in industry 4.0 in the world of manufacturing as well.","जिना देश कन ऐवी जवानों नी ताकत होय,तिना देश मां यो बळ होय, हमु manufacturing नी दनियां मां पण industry 4.0 मां हमु घणी मोटी ताकत हाते अगल जावा मागिये ।"
now every district is thinking in the direction of how to export one product of one district to one product.,"हाव one district one product नें one distcit नों one product export कीकम थाई, इनीं दशा मां हर जिलां होसवा लाग्या से।"
"atta said iraqi security agencies had stopped a car with a bomb in masbah, central baghdad.",अत्तु ने किदू कि इराकी देख -भाल ना भाग दोड़ के मस्बाह माँ एके बम वाली जीप रोक दे हाथी |
"frat kele, a passenger on the plane, told a turkish television network that the man could be seen reading the koran during the flight.",हवाई जहाज माँ बैठो एक यात्री फ्रेट केले ने तुर्की नी एक टेलीवीजन नेट्वर्क ने बतायो कि उड़ान ने बाद तीना आदमी ने कुरान भण्यो हतो देखियो ग्यो|
"ai is being used to reduce human-tiger conflict in chandrapur, where cameras have been installed on the border of the village and forest.",चंन्द्रपुर मां नाहरूं अन मनखुं नी लड़ाई कम करवा हारूं एएल नां काम मां लिरियां से। जां गाम अनें डुगर मां केमरा लगाडया से।
desai felt that it would be unfair to kill a man who had escaped death in real life on screen.,देसाई नी महसूस करियू कि वास्तविक जीवन मा मरवाथी क्यना वाला आदगी जी पर्दे पर मार देवू अनुचित थाहे।
"under the jal jeevan mission, in such a short time, 12 crore new families are getting tap water under the jal jeevan mission.","जल जीवन मिशन थी, ऐतरां कम टेम मां नवां 12 करोड कुटुम नों जल जीवन मिशन थी नळ थी पाणीं पुगी रियों से।"
"chanakya was concerned about chandragupta's safety, and he developed multi-pronged techniques to prevent assassination attempts.",चाणक्य-चंद्रगुप्त नी (सुरक्षा रक्षा) की बारा मान्चितितस्ता उनी भारवानी की कोशित को रोया हारु तिनाये बहुभासिद्ध टेकनीले विकसित करी ।
"it is our social responsibility to reach out to those who are at the bottom of the society, if any one is left behind, it slows down our pace of progress.","समाज ना आखरी तबके ना जी मनखा से , यो अमारी समाज नी जिम्मेदारी से अगर कइनू वाहळ री जाए ते ये अमारी अगल बढवा नी गति कम करी दे ।"
former jan sangh president balraj madhok wrote a letter to the then rss chief rajendra singh seeking support.,जनसंघ ना पेलखा अध्यक्ष बलराम मधोक ने (तत्कालीन ) तरस इना समय मा आर .एस .एस नो खास राजेन्द्र सिंह नो तीनान मदद हारू ( समर्थन ) एक लेटर लिखू से |
"sunita devi: we have so far sprayed 35 acres with drones, farmers are finding it very beneficial.",सुनिता वी: हमुये हाऊ तलक 35 एकड मां ड्रोन थी स्प्रेकरी सकयां से। करषाणुं नें यो घणूं फायदा वाळूं लागी रयूं से।
"by combining the aspirations of our countrymen with their aspirations, the energy of our youth, the potential of our country, we are moving forward with a desire to move forward.","अमारा देहना रेहवासियु नी आहु तिन् हुना एस्पिरेशन, अमारा जुवानु नी ताकतु, अमारा देह ना बळवाळु कामु ना हाते जोडाईन, हमु अगळ बणेळा थाईळा से।"
"today, when the whole world wants to learn something from india about the successes of fintech, our pride increases.","देह गर्व करें से आज जेर fintech नीं सफलताओं नें लीन पुरों भारत कईं सीकवा हमजाड़वा जोवे से, तेर हमारा गर्व गढी जाये से।"
umabai personally met him in 1750 and argued that the agreement was invalid because the dabhades had signed it under duress.,उमा बाई ने खुद न रूप थी न तीना थी मुलाकात की अने वात वताडी हम जोतो नी मन्या हता केमकी दभादों न दबाव म इन पर शायन करियू।
"friends, new arrangements are being made in the country.","हात वाळों ., देहमा नवी वेवस्तायु बनी र्यी से"
vajpayee himself was reported to be unhappy with the announcement and responded by saying that the party needed to win the election first.,वाजपेयी खुद इना घोषणा थी नाखुश वताडयु गया हता अन तिनुही यु केहता जाइन जवाब देदो कि पार्टीयी पेहला चुनाव जीतवा नी जरूरत से।
rafi sang many songs in chris perry's konkani album golden hits with lorna cordeiro.,रफी मा केवू पेरी कोकणी एल्बम असल हाथ लिदो अने काडईरो मा कई गावानू गाया
"gas lighting was replaced by electric lighting; seating arrangements were improved; the inclusion of folk epics, sanskrit dramas, and fictional stories formed the modern thematic base.",गावा वाका एक था वदु गुट ली जाए से किम के आंगली जेवी नी ई घंटियों विभिन्न सुरों मा उपलब्ध थाए से इनी जोक विभिन्न स्वरमान मा गावा मा समर्थ बणावे से |
a battle ensued between vishnu and the demon and vishnu realized that a new weapon was needed to kill muran.,विष्णु अन दयेत ना वसमा एक लड़ाई थाई अन विष्णु भगवान नी इन एहसास थायो कि मुरन नी मरवा हारू एक नवा हथियार नी जरूरत से |
"think about the banking sector, how the banking sector did not grow, did not expand, did not gain confidence.","बैंकुं नां ईलाका मां ज्यों reform थायों, तमुं होसो- बैंकिग ईलाका नों हु हाल हतो, ना विकास हतो, विस्तार ओहे, नां भरोहो बढहें।"
"during these three weeks of mourning, he did not attend any public meetings and ate simple vegetarian food.",दुख नी इनी तीन हफ्तो नी दौरान तिनाये कोई सार्वजनिक मीटिंग मा भाग नथी लेदो अनी सादा शाकाहारी खावलू खादु ।
i couldn't prepare myself before every match in delhi because i didn't know who my opponent would be the next day.,हूं देहली मा हर मैच थी पेहलो खुद ने त्याग नही करी सकीयो केमकि मने नयी पतो हातो कि अगाडी ना दाहडा मारी बराबरी कौन थाहे बिजा मा बदली कर दिदु से।
"according to prithviraj vijaya, nagarjuna rebelled against prithviraj's authority and captured the fort of gudapura.",पृथ्वीराज विजय नेवले नागार्जुन पृथ्वीराज नी शासन न खिलाफ लड़ाई कारी करी अने गुडा पुरा न किला पर कब्जो करि नाएयो।
destroyed all those laws and made the provision of jailing him laws out of the system.,तिनु बदा काईदा ने मटाड दिदा अने तिहु ने काईदा ने जैळमोकळवा ना प्रावधानु ने वैवस्ता थी बाहरते करि दि दु से।
"empathy is our style of functioning. equanimity is also required and empathy is also required, that is what we are going with.","मारूमन अमारा कामु करवे नीकळा से । भेळ मनडु पण जोये अने मारी मन पण जोये, तिहुने लईने हमु सालीर्या से l"
it was only then that the maratha confederacy was defeated by ahmad shah durrani in the third battle of panipat and the mughals were restored to power in 1761.,तेरा पानीपत नी तीसरी लड़ाई मा अहमद शाह दुरानी ये मराठा संघ ने हरायो हेतो अने 1761 मा मुगलों नी सत्ता ने बहाल करया हेता।
"he returned to trinidad for the fifth test and scored 124 and 220 to help india win their first and, until 2006, only series over the west indies.",ती पांचवा टेस्ट हरु त्रिनिदाद नाही आया अने 124 अने 220 रन बणा वीन भारत ने वेस्ट इंडीज पर पेलखी अने एखलीस श्रृंखला जीतवा मा मदद करी |
"other popular waterfalls in kanyakumari district include ullakarvi falls, vattaparai falls, and kalikesam falls.",कन्याकुमारी जिले मा एक असल डुंगर पर उल्लावाही झरना वाट पाडे झरना अने काशी कसम भेला करीयो
"after many discussions and consultations, and frequent attacks by indian forces, khan decided to stop the war to save the lives of pakistani soldiers.","कई विचारो आने बातचीत / परामर्शो ने बाद भी आने भारतीय बालो हरु लगातार /लागे ला हमलो ना बाद ,खान ने पाकिस्तानी सेनाओ नी फन वसाड़ा हारू युद्ध /लड़ाई ने रोक्वो नो फैसलों ले दो |"
"according to abu fazl allami, maham was actually a kinswoman of the noble family of sultan of khorasan, husayn mirza.","अबू फजल अल्लामी ना बाद केवा बाद माहम खरा मा खोरा सां ना हुल्तान ,हुसैन मिर्जा ना कुली परिवार नी रिश्तेदारी माँ हती"
"the anger that he feels towards injustice towards his ability, ability, harms the progress of the nation.",तिनान आपडी काबिलियत ताकत ने प्रति जूल्म नो जो गुस्सों है त्यों राष्ट्र नी गति मां नूकसान करे से।
"friends, today, there is no sector in which the women power of the country has been left behind.","हाथिडां, आज ना दाहडें काई पण भग ऐवों नथ से जी कि जिनमां बयरों देह नी कईनी पण ताकित मां पसळ री ग्यों से।"
"i urge the political parties of the country to witness the tricolor from the red fort, urge the people who understand the constitution of the country.",हू लाल किले थी तिरंगा नी साक्षी मा देश ना राजनितिक दलों थी निवेदन करू देश ना सविधान ने हमझावाला मनखों थी आग्रह करू से।
"the total market capitalization of toyota and honda is about 1,32,92, 36,50,00, 000.00 rupees.",टोयोटा अने होडा ना कुल बाजार कमाया है एक तीन ब नो तीन ने छे पाच ने अडो अडो अडो अडो पैसा से
sultan alauddin's two sons sultan shihabu'd-din and sultan qutb-ud-din became kings in succession.,सुल्तान अलाउद्दीन बे सोरा शिहाबुद्दीन आने सुलतान कुतुबुदीन उत्तराधिकार मारा राजा बनिया |
patel also supported gandhi's controversial resistance in the wake of the chauri chaura incident.,पटेल ने सोरा सोरी ना झगडा ने ध्यान माँ राखीन गाँधी जी ई झगडा नो मुकबलो नो समर्थन कर यो |
"modi ji: sunita devi ji, namaskar to you.",मोदीजी: सुनिता देवी जीजी तमुंनें नमस्कार।
