Hindi,Gondi
इस जल महोत्सव का आयोजन सूरत के हीरा कारोबार में अपना नाम बनाने वाले सावजी भाई ढोलकिया के फाउंडेशन द्वारा किया गया था।,इद जल महोत्सव ता रच्चा सूरत ता हीरा करोबार ते आपुना पोरोय पन्डाना सावजी भाई ढोलकिया ना फांउडेशन ना जरयेत ते कील आत।
कई लोग समुद्री पर्यटन की योजना बनाते हैं।,कूबैय मानेय समुन्दी पर्यटन त योजना पण्डान्तोर।
विदेश के भी कई लोगों को पद्म पुरस्कार से सम्मानित किया गया है।,बहिर देश तोर गला कुबैय मानेय कुन पद्य पुरस्कार ता मान गुन किले आता।
मुझे खुशी है कि ‘मन की बात’ भारतीयों की ऐसी उपलब्धियों को उजागर करने का एक सशक्त माध्यम बन गया है।,नाकुन गिर्रदा आन्ता की ‘गोक ता पोल्लो’ भारत तोर ना इदमे उपलब्धि तुन उजागर किययना ता उंद दमकम माध्यम बन्ने मायता।
कि उसे जीवंत दस्तावेज कहा जाता है।,अदेनका इदेनांग कागेतीनुंग जीवोत इन्दाना आनता।
नदियों का अविरत प्रवाह जीवन को प्रेरणा देता है।,बेरेह न अविरत पोगाना जिल्गी तुन वेहायता।
लेकिन आलसीराम हमेशा उसी मूड में रहता है।,मति आलसीराम रोजाय ओना बुधते मन्दूर।
और इसे बताने के लिए ‘मन की बात’ से बेहतर और क्या हो सकता है?,अन इदेन वेसनाता बांटा ‘‘गोक ता पोल्लो’’ त सोबा तहक ले बातल आयला पर्रता।
उसे बर्गर और पिज़्ज़ा बहुत पसंद हैं।,ओन बर्गर अन पिज्जा कुबेय विचार मन्द।
अब इसमें लोगों के पास ख़ुद को भी Nominate करने का मौका रहता है।,इदेक इपे भूमकाल न ओदा ते आपुना छवउपदंजम कियाना ता मोका मन्ता।
यानि हमारा लोकल अब ग्लोबल हो रहा है और इसके कारण इन महिलाओं की कमाई भी बढ़ी है।,म्तलब मावा लोकल इदेक ग्लोबल बायला आता अन इदेन काम इव असकनंग कमाय बेरसला आतां।
"तो हम उस व्यक्ति को सिर्फ वो हुनर ​​ही नहीं देते, बल्कि उसे आय का एक जरिया भी प्रदान करते हैं।",ते माट ओर मानेय कुन सिरबस तरीकंगे आयो मति ओर कुन आय ता उन् जटिया हीले आता।
आलसीराम को यह सोचकर बहुत हंसी आती है।,आलसीराम न सोच ते कौवसितूर।
"इसी तरह, ‘मन की बात’ से प्रेरित होकर, अहमदाबाद के निकट तीर्थधाम प्रेरणा तीर्थ ने एक दिलचस्प प्रदर्शनी लगाई है।",ऐनय लेहका ‘’गोक ता पोल्लो’’ तह प्रेरित आस अहमदाबाद ता हेरे तीर्थ धाम प्रेरणा तीर्थ ते उन्द ठिया दिलचस्प आना हक हुड़ानांग पण्डले आतंग।
"हमें इन लोगों के बारे में पहले शायद ही कुछ देखने-सुनने को मिला है,",माकुन इव मानैय तंग बारे ते मुन्ने शायद हुड़ला के जला पुटता।
आलसीराम अपने दोस्तों से ऑनलाइन गेम खेलकर समय बिताता है।,आलसीराम अपूना संगवारी संग ऑनलाइन खेल करसन तोर समय बेकार आन्त।
"इस दौरान देश ने सामूहिकता की शक्ति देखी, जो विकसित भारत के हमारे संकल्पों का भी बहुत बड़ा आधार है।","इद बेरा देश सल्ला गुंदांग ता लाव हुड़त, इद बड़हे मायना भारत ता मावा पोल्लो हिले गला कुबैय बेरहा पैदी आद।"
"साथियो, अयोध्या में प्राण प्रतिष्ठा के अवसर ने देश के करोड़ों लोगों को मानो एक सूत्र में बांध दिया है।",गोतया लेरिट अयोध्या ते जिवा अरहाना पहर देश तोर करोड़ो मानेय लोर कुन मानेमाम कि उन्द सूतूर ते दोही चितोना।
"साथियो, मुझे इस बात की बहुत खुशी है।",सगवार नाकुन इव पोल्लो दा कुबेय गिर्दा मन्ता।
यात्रियों का उत्साह भी देखने लायक होता है।,यात्रा केवालोरा कुशी हूड़न लेहका आन्ता।
नदियों का जल जीवन के लिए अमृत के समान होता है।,बेरेह न एर्ट जिल्गी त बाटा अमृत त समान आयता।
भारतीय पर्वत श्रृंखला में पर्यटन का बड़ा योगदान है।,भारतीय मेटाक न लाईन ते वेलीय वाला कुबैय साझा कियाना आन्द।
वैद्यराज हेमचंद मांझी भी आयुष चिकित्सा पद्धति की मदद से लोगों का इलाज करते हैं।,दवंग हेवाल हेमचंद मंाझी गला पुरकाता द्वारा ता ओड़ दे मानैय कुन तीसायतोर।
इसे लेकर अब तो तरह-तरह के innovation भी होने लगे हैं।,इदेन पैय्स इदेक रंग-रंगनंग पददवअंजपवद नवाचार गला आयतंग।
हर चिकित्सक अपने तरीके से बीमारी का नाम और इलाज के तौर-तरीके लिखता है।,सबोय डॉक्टेर आपुना हिसाब ते गिरहो त पोरोय अन तिसाना त हिसाब किताब कोटान्तांग।
समय नियोजन जहां हमें भविष्य की योजना बनाने में मदद करता है]वहीं यह हमें वर्तमान में भी ध्यान केंद्रित करने की प्रेरणा देता है।,टेम तैयार कियाना संसार तोर मानेय वायना बेरा ता तरीका पण्डाना ते काम कियाना आन्द। अदे मांकून परके ते अकल केद्रित कीयाना काम आनता।
"एक और क्षेत्र है, जहां, महिलाओं ने, अपना परचम लहराया है, वो है – self help groups।",उन्द पेरे लिही मंता अगा मुयातहकु पेरे पोरोय कीतंग अद आंद ेमस िीमसच हतवनचे (स्व सहायता समूह)।
भारतीय नदियों में अक्सर परंपरागत बाजार विकसित होते हैं।,भारतीय बेरेह ने मोका ते तयहाता धारा ते हादुम बेरसायतंग।
उन्होंने एक रुपया भी अपने पास नहीं रखा।,ओर उन्द रूपयांग गला आपुनगा इर्रोर।
नदियों का जल स्तर मानसून की बारिश पर निर्भर करता है।,बेरेहक न एर्र कोहड़ा मानसून त पिर्ट द ते आया कियायता।
ये महिलाएँ जमीनी स्तर पर अपने कार्यों से समाज और देश को आगे ले जा रही हैं।,इव मुयतह्क जागा तह् आपूना बूो ते बुमकाल अन देश तुन मुन्ने ओनतंग।
"भारतीय पर्वत श्रृंखला में कई प्रमुख पर्वत शामिल हैं, जैसे कि कंचनजंगा और नंदा देवी।",भारतीय मेटा लाईन ते कुबैय मुख्य मेटाक संगेय मंतांग इदाम लेहका कंचनजंगा अन नंदा देवी।
यात्रा के दौरान प्रकृति के नजारे अद्भुत होते हैं।,यात्रा त बेरा प्रकृति त न जारे हूड़ वेसनाह लेहका आन्ता।
फोटोग्राफी के लिए धैर्य और संयम की आवश्यकता होती है।,फोटोग्राफी त बाटा धीर अन आपूना मन ते मनवाल न कूबैय जरूरत आन्ता।
भारत का संविधान इतने गहन मंथन के बाद बना है।,भारत ता संविधान तुन पकाय सोचे बिचारे कीले परके पण्डले आता।
आलसीराम को हर नई चीज़ में आलसीपन नजर आता है।,आलसीराम मीन बदे भी पुना चीज ते असादीपन नजेर आन्ता।
"Self help groups से जुड़ी निबिया बेगमपुर गाँव की महिलाएँ, गाय के गोबर, नीम की पत्तियाँ, और कई तरह के औषधीय पौधों को मिलाकर,bio fertilizer तैयार करती हैं।",स्वःसहायता समूह ते जुड़े मास निविया बेगमपुर नाटेनंग मुयतह टालिहना पड़प लीम तंग आकीनुंग अन कुबैय रंग-रंगनंग दवा पोद्देलानुंग मीलह कीस मंजल जैविक कतू जोंगा कीयतंग।
इन उद्यानों में अनगिनत वन्यजीव पाई जाती हैं।,इव उद्यानी ने लेख पर्रावह कोटुह जीवांग पुटायतंग।
"मेरे प्यारे देशवासियो, ‘मन की बात’ में हम ऐसे देशवासियों के प्रयासों को सामने लाते हैं, जो निस्वार्थ भावना के साथ समाज को, देश को, सशक्त करने का काम कर रहे हैं।",नावा लाडरा देशवासिलोरीट ’गोक ता पोल्लो’ दे माट इदमे देशमेटोरा कोसित किलेतुन मुन्ने तत्यतोराट जो दरमोती ता पोल्लो संग ते कुटुम तुन देशतुन दमकम कीलाह बूतो कियतोरट।
नदी संक्रांति उत्सव भारतीय संस्कृति में मनाया जाता है।,बेरेल संक्रांति तीहार भारतीय रीति-रिवाज ते माने मायना आयता।
दूर-दूर तक फैलते नीले पानी का दृश्य अद्भुत होता है।,लेक-लेक बिगरेह मायले नील लेहकाडा हेर्र त हूड़ना उन्द हट्टो लेहका आन्ता।
बहुत से लोग नई कविताएं भी लिख रहे हैं।,कुबैय मानैय लोर पूनंग कत्तंग गला कोट्टयतोर।
जिसका नाम है ‘हमर हाथी – हमर गोठ’।,अदेना पोरोय आंद ’हमर हाथी -हमर गोठ’।
"एक ऐसे भी हैं, जो drugs और शराब की लत की रोकथाम के लिए समाज में जागरूकता फैला रहे हैं।",उन्द इदम गला मन्ता वोर दवा अन दाड़गो ता टक्कर तुन आड़ा हियाला बूमकाल ते चेतेह कियान्तोर।
आपको ये जानकर खुशी और गर्व का अनुभव होगा कि दुनियाभर में जितने बाघ हैं उनमें से 70 प्रतिशत बाघ हमारे देश में हैं।,मीकुन इद पूंजमंजल गिर्रदा अन गवर्च ता बिचार आयर कि बुममेटे बोचोक बुर्रकह मंतंग अचोकने 70 प्रतिशत बुर्रकह मावा देश ते मंतंग।
भारतीय नदियों का उन पर निर्भर लोगों की संस्कृति पर गहरा प्रभाव पड़ता है।,भारतीय बेरेहक अवेह ने भरोसा ते मातेयक न रिवाज तुन कुबैय दबाव वायता।
ये भाई जगदीश त्रिवेदी जी के जीवन से पता चलता है।,येर तमोई जगदीश त्रिवेदी जीना जिलंगी तह पुनहयता।
नदियों का संरक्षण हमारी जिम्मेदारी है।,बेरेहकुन पीसीहला मावा जुमेदारी आन्द।
समुद्र में सफर करते हुए सूर्यास्त का नजारा निराला होता है।,समुन्द ते दायना सेका पोड़द अर्राना पहर त हुड़ाना कूबैय सोबा हियान्ता।
"बीते करीब 7 वर्षों से यहाँ रेडियो पर एक लोकप्रिय कार्यक्रम का प्रसारण हो रहा है,",बीते माले 7 वर्षा ने ईगा रडियो ता उन्द सपाय ता बिचार कीले जलसा ता प्रसारण आयता।
मैंने देश के लोगों से आग्रह किया था कि मकर संक्रांति से 22 जनवरी तक स्वच्छता का अभियान चलायाजाए।,नना देश तोर मानैय लोर कुन इनलेना कि मकरन संस्कृति तह 22 जनवरी अवनह स्वच्छता अभिमान चलेह किमट।
लेकिन फिर वह सोचकर सो गया।,मति ओर सीचे कीस हुंज हितर।
लोग उसके आलस्य को मजाक में लेते हैं।,मानेय ओना असादी ता मज्जक ते आन्द।
नदियों की स्थायी जलधाराओं का अध्ययन जरूरी है।,बेरेह न रोज एर्र पोंगाना सोये कियान्त जरूर आन्द।
गंगा की सफाई परियोजना महत्वपूर्ण है।,गंगा त सफाई परियोजना जरूरी आन्द।
वन्य जीवन फोटोग्राफी के लिए सही समय और स्थान का चयन महत्वपूर्ण होता है।,वन्य जीवांग न फोटोग्राफी त बाटा सही समय अन सही स्थान त चूने कीयाना कूबैय जरत आन्ता।
भारतीय समुद्र में स्थायी पर्यावरण के प्रति जागरूकता फैलाने की जरूरत है।,भारतीय समुन्द ते स्थायी पर्यावरण त बाटा जागरूक फैले कीयाना जरवत आन्द।
आने वाले समय में अनेक पर्व भी आ रहे हैं।,वायना दिया ते कुबैय पंडुमिंग गला वायनुंग।
पर्वत क्षेत्रों में बर्फबारी सर्दियों में देखने को मिलती है।,मेटा त क्षेत्र ते आदुरक अर्रायतंग पीन सेका हुड़ला पुटायता।
"तिरंगे को लेकर ये उल्लास, ये उमंग हमें एक दूसरे से जोड़ती है।",तिरंगा तुन पैय्स इद गिर्रदा इद उमंग माकुन हेरे-हेरे जोड़े किययतोर।
"वो कहते हैं कि ‘मन की बात’ के बाद, उनके रेडियो म्यूजियम को लेकर लोगों की उत्सुकता और बढ़ गई है।",ओर इंतोर कि गोकत पोल्लो दा परके ओना रेडियो म्यूजिक तुन पैयस मानेयतुन गिरदा कुबैया बरसता।
कुछ संस्थाएं अंगदान करने के इच्छुक लोगों का Registration कराने में मदद कर रही हैं।,उचूक संस्तांग मेदूह हियाना ता बिचार मनलेर मानैय तुन लिकह किययना ता संग हिययतोर।
"शारीरिक चुनौतियां, आर्थिक चुनौतियां, इन साहसी और talented खिलाड़ियों के आगे टिक नहीं पाईं।","मेंदुहनंग अड़चेनिंग, पैसानंग अड़चेनिंग येर दम बितोर अन सुरवाल करर््सवालोरकुन इव अड़चेनिंग सेके कीला पर्रोग आतुंग।"
नदियों का जल चक्र जीवन के लिए एक रीढ़ की हड्डी की तरह होता है।,बेरेहक न एर्ट चक्र जिल्गी त बाटा मुर्रसुदा पेड़ेका लेहका आयता।
वन्य जीवन फोटोग्राफी के लिए धैर्य और संयम की आवश्यकता होती है।,वन्य जीवांग न फोटोग्राफी त जाटा धीर अन आपूना मन ते मनवाल न जरवत आन्ता।
धमतरी जिला मुख्यालय में देवी के रूप में मां विध्यवासिनी स्वयंभू-रूप में अवतरित है जिसके दर्शन हेतु प्रतिदिन भक्तजन जाते है।,धमतरी जिला मुख्यालय ते देवती ता रूप ते मां विहयवासिनी स्वयं भू-रूप अवतरित मंता अदेना सोबय हूड़ला रोज्जा भक्ति केवालोर वांतोर।
"और भारत की उपलब्धियाँ, हर भारतीय की उपलब्धियाँ हैं।","अन भारत ता उपलब्धि, हर भारत तोरला उपलब्धि आन्दुग।"
इसी संविधान की मूल प्रति के तीसरे अध्याय में भारत के नागरिकों के मूलभूत अधिकारों का वर्णन किया गया है।,दे संविधान ता असल कागेती ना मूण्ड (तिसरा) अध्याय ते भारत ते मनवालोरा असल हक कुन समझेह कीस कोटले आता।
"मैंने, यहाँ, कुछ ही प्रयासों की चर्चा की है लेकिन मुझे खुशी है कि जन-भागीदारी बाघों के संरक्षण में बहुत काम आ रही है।",नन्ना इगा बातय गला कोसित कियना ता बारता कीतोर मति नाकुन गिर्रदा आत की जनभागीदारी बुर्रकाह न रकवाली ते कुबैय बूतो वायता।
नेपाल और तिब्बत हिमालय की सीमाओं को बनाते हैं।,नेपाल अन तिब्बत हिमालय त सीमा तुन पंडायता।
"जब हम किसी को कोई हुनर ​​सिखाते हैं,",टसके माट बोने गला तरीकंग वेहान्तोरोम।
नदी तट पर फैले हरे भरे जंगल विस्मयजनक दृश्य प्रस्तुत करते हैं।,बेरेल ओदा ते बिगरे माले हरा-भरा कोटुम किसमोत हुड़ाना तुन वेयता।
नदियों में जल प्रदूषण के कारण कई प्रजातियाँ खतरे में हैं।,बेरेह ने एर्ट कलीगले त कारेण कुबैय प्रजातिंग खतरा ते मंताग।
भारतीय नदियों का उपयोग फसलों की सिंचाई के लिए किया जाता है।,भारतीय बेरेहन उपयोग हनुम तुन लोसकला बाटा कियाना आयता।
"लेकिन, अब मुझे खुशी है कि पद्म सम्मान घोषित होने के बाद ऐसे लोगों की हर तरफ चर्चा हो रही है,",मति इदेक नाकुन गिरदा मंता की पद्य सम्मान ता आरो ता परके इदामनोर मानैयता सपोय को टूहने बड़कतुर।
"आज, आसपास के गावों के 6 हजार से ज्यादा किसान इनसे bio products खरीद रहे हैं।","नेंड, हेरे-हेरेनार्रनोर 6 हजार तह जादा नेल बूतो केवलोर इवेनागडह इपव चतवकनबजे जैविक तह उपजे मालेतुन ऐसायलोर।"
कि पिछले एक दशक में पद्म सम्मान का system पूरी तरह से बदल चुका है।,की परेक उन्द वरसा त पद्य सम्मान ता सिस्टम सपोय बदले माता।
स्वादिष्ट समुद्री भोजन का आनंद लेना न भूलें।,मिटास समुन्दी गाटो त गिर्रदा तिन्दाना निमट मर्रीग माट।
"मेरे प्यारे देशवासियो, कहते हैं, हर जीवन का एक लक्ष्य होता है,",मावा देश ते मनवालोर लाडरह वड़कान्तोर सपोद जीवा ग उदीय सुतुर आन्द।
आप अपने परिवार के साथ मिलकर त्योहारों का आनंद उठाएं।,निम्मा अपुना कुन्दा लोर संग मीलेमास पंडुमीने गिर्रदा तेहिट।
कौशल विकास पर केंद्रित ‘बेलजीपुरम यूथ क्लब’ ने करीब 7 हज़ार महिलाओं को सशक्त बनाया है।,कौशल विकास ते गुड्स बेलजी पुरम यूथ क्लब ते करीबन 7 हजार आस्क कुन कर्रिहचितुर।
आलसीराम का सपना है कि वह एक दिन Motivational Speakerबने।,आलसीराम न सोच आनता उन्द दिया डवजपअंजपवदंस ैचमंामतबने मायार।
"मेरे प्यारे देशवासियो, नमस्कार।",नावा लाडराह देश ते मनवालोरिट सेवा जोहार।
उमंग है। लोग अपनी भावनओं को अलग अलग तरह से व्यक्त कर रहे हैं।,गिर्रदा मंता। मानैय आपुनंग बिचारिनुंग अलगे-अलगे ओड़ दे वेहयतोर।
यहाँ देश-विदेश के 100 से अधिक antique रेडियो प्रदर्शित किए गए हैं।,इगा देश-विदेश ता 100 तह जादा ंदजपुनम रेडियो मुंग तोहले आता।
आलसीराम का एक सपना है कि एक दिन वह कामयाब हो।,आलसीराम मीन उन्द सपना ते उन्द दिया ओर अच्छा काम आतः।
देशवासियों में इस बात को लेकर भी बहुत प्रसन्नता है कि सम्मान पाने वालों में 30 महिलाएं हैं।,देश ते मनवालोर इद पोल्लो तुन पोयस कुन कुबैय गिर्दा मन्ता की मान कलियानांग बितिह ने उन्द कोडी पद (30) मुयताह मंताग।
आलसीराम ने पिछले साल एक बार दौड़ने का सोचा था।,आलसीराम पेरके वर्षा उन्द बार पितला सोच कीतूर।
श्रृंगी ऋषि आश्रम नगरी विकासखण्ड मुख्यालय से 07 कि.मी दूर पर स्थित है।,श्रृंगी ऋषि आश्रम नगरी ब्लाक ता मुख्यालय ढेढा कोस लंेक ते स्थित मंता।
सिहावा की पहाड़ियो पर ‘‘महेन्द्रगिरि’’ के नाम से प्रसिद्ध त्रेतायुग के प्रसिद्ध श्रृंगी ऋषिका आश्रम है।,सिहावा पहाड़ीने महेन्द्रगिरि ना पोरोय प्रसिद्ध त्रेतायुग तह प्रसिद्ध श्रृंगी ऋषिका आश्रम मंता।
"मेरे प्यारे देशवासियो, अब मैं आपसे भारत की एक ऐसी उपलब्धि साझा कर रहा हूँ।",नावा देश ते मनवालोर लाडरा्र लोरिट इदेक नन्ना मिकुन भारत त उन्द इदामे मान अलिहला कियान्तोना।
"सीतानदी वन्य जीव अभ्यारण्य, जो बाघ रिजर्व थी एक लोकप्रिय पर्यटक आकर्षण का केन्द्र है।ै।",सीतानदी वन्य जीवांग अभ्यारण ते बुरकांक रिजर्व मंद उॅद लोक प्रिय हुडाना शोना ढेरा त केन्द्र मंता।
"साथियो, बाघ बढ़ने के साथ-साथ हमारे देश में वन क्षेत्र भी तेजी से बढ़ रहा है।","गोतियालोरिट, बुर्रकह बर्सना ता संग-संग मावा देश ते पट्टड़ एरिया गल्ला जोर से बरसयता।"
"15 अगस्त आते-आते, घर में, दफ्तर में, कार में, तिरंगा लगाने के लिए तरह-तरह के product दिखने लगते है।","15 अगस्त वासोर-वासोर लोत,े आपिसते, कार ते, तिरंगा लगेह कीला रंग-रंगनंग चतवकनबज बीडर ओहनह आयता।"
"आज, देश में बहुत से संगठन भी इस दिशा में बहुत प्रेरक प्रयास कर रहे हैं।",नेंड देश ते कुबैय सल्ला गुंदा अंग गला इद बासा कुबैय करीहलय कोसित कियय तंग।
मेरा आपसे अनुरोध है कि हैशटैग श्री राम भजन (#shriRamBhajan) के साथ आप अपनी रचनाओं को social media पर share करें।,नावा मीकुन बिन्ती मंता कि हैशटेक श्री राम भजन ता संग निम्माट आपुनंग रोचेह कीलेनुंग सोसल मीडिया ते हालहना कीम्ट।
"इसी तरह ये महिलाएं अदरक, लहसुन, प्याज और मिर्च का paste बनाकर organic pesticide भी तैयार करती हैं।",इदमे इव मुयतह अदरक लसुन गोंदरींग अन मीरीना पावडर पंड्स मंजल जैविक पुड् हवकना दवा जोंग कीयतंग।
"कुछ ऐसे भी हैं, जो हजारों पेड़ लगाकर प्रकृति-संरक्षण के प्रयासों में जुटे हैं।",बचोक तो ईदाम गला मन्तोर वेर्क हजारो पोदे लंग उर्स कुन प्रकृतितुन पिसहाना ता कोसित ते मन्तोर।
"आपने गौर किया होगा, जब colony या society के एक-एक घर पर तिरंगा लहराता है,",निम्मट सेत कीतोरिट होही अन समाज तंग ओकोह-ओकोह लोहकने झण्डा उंगयता।
इन महिलाओं ने मिलकर ‘उन्नति जैविक इकाई’ नाम का एक संगठन बनाया है।,इव मुयताह मीलेमास ’उन्नति जैविक इकाई’ (जैविक कतू) ता पोरोय ते उन्द गुन्दा पंडतुंग।
कार्यक्रम में भाग लेने वाले लोगों को तिरंगा वाटर फाउंटेन बहुत पसंद आया।,रच्चा ते सामील आयवा लोट कुन तिरंगा वातर फाउंडेशन कुलेय बिचार बात।
आज ‘मन की बात’ में मेरे साथ बस इतना ही।,नेंड ‘‘मन की बात‘‘ ते नावा संग इचोय मनी।
भारतीय वन्य जीवन फोटोग्राफी में वन्य जीवों के अनदेखे पहलुओं को कैद करना अद्वितीय होता है।,भारतीय वन्य जीवांग न फोटोग्राफी ते वन्य जीवांग न बीना हूड़वाय बिचार कीयाना अदम लेटका आन्ता।
हुआ यूं कि एक बार भाई जगदीश त्रिवेदी जी ने कहा कि जब 2017 में वो 50 साल के हो जाएंगे।,आत इदम कि उन्द बेरा तमोर जगदीश त्रिवेदी जी इतुर कि अस्के 2017 ते ओर 50 वरसानोर आयनुर।
"मां अंगारमोती मंदिर से कुछ दूरी पर अंगार इको एड़वेंचर कैम्प है जिसमें नये-नये एडवेंचर जैसे वर्मा ब्रिज, ब्रोन फायर कैट वॉक, मंकी क्रो. कमांडो नेट, टायर शोइंग, एफ क्रॉसिंग से गुजरना पडे़गा।","मां अंगार मोती मंदिर उच्चुय लेक ते अंगार इको एडवेंचर केम्प मन्ता अपेड पूनांग-पूनांग एडवेंचर जैसे वर्मा ब्रिज, ब्रोन फायर कैट वॉक मंकी को कमांडो नेट टायर रोइंग एफ क्रासिकंग तह गुजरेमायला लागर।"
"सामूहिकता की यही शक्ति, हमारे देश को सफलता की नई ऊंचाई पर पहुंचाएगी।",सल्ला गुंदा मेरोर इदे लाव मावा देश तुन बड़हे मायना ता पूना तोर्रा अवहार।
नदियों का जल कृषि उत्पादन के लिए प्रेरणा स्रोत है।,बेरेहन एर्ट नेलींग उपज त बाटा वेहना पुटले आन्द।
"हम कोई भी काम करें, कोई भी फैसला लें, हमारी सबसे पहली कसौटी यही होनी चाहिए।","माट बातय गला बूतो केविट, बातय गला वड़कीट, मावा सबले पेहली अट्अे इदे आयी।"
"वो दिन दूर नहीं, जब आपको गाँव-गाँव में खेतों में, नमो ड्रोन दीदियां, ड्रोन के माध्यम से खेती में मदद करती हुई दिखाई देंगी|।","अब दियांग हिलेंग अस्के निकुन नार्रक नरिकने, नेलिने, नमो ड्रोन ते दीदिह्कु ड्रोन ता संग नेलिन संग हिसोर ओह्ना आयनुंग।"
नाम सुनकर आपको लग सकता है कि रेडियो और हाथी का भला क्या connection हो सकता है।,पोरोय केन्जस मंजाल मीकुन लागायता आयर कि रेडियो अन हाथी ता लेह्का बाता सम्बन्ध आयर होही।
जबर्रा गांव तक जाने हेतु निजी वाहन का उपयोग ज्यादा किया जाता है।,जबर्रा नार्र दायला निजी आपुना गाड़ी ता उपयोग जादा कियाना आंता।
"कि इससे देश को क्या मिलेगा, इससे देश का क्या लाभ होगा।","कि इप्पेडह देश तुन बाता पुट्टार, इपोडह देश तुन बाता नप्पा आयर।"
भारतीय नदियों में जलयोजन और नवीनीकरण की आवश्यकता होती है।,भारतीय बेरेहक ने एर्ट योजना अन पुना पंडाना त जरूरत आयता।
"ये भावना रुकनी नहीं चाहिए, ये अभियान रुकना नहीं चाहिए।",इद विचार अटके मायमकि इद अबियान अटके मायमकि।
मैं पद्म सम्मान पाने वाले सभी लोगों को फिर अपनी शुभकामनाएँ देता हूँ।,नना पद्य सम्मान एतवालोर सपोय कुन नावा फेरवने असीद हियाय तोना।
जब इसी पद्धति के किसी दूसरे डॉक्टर के पास जाते हैं।,असके अदेन बदे दूसोर डॉक्टेर निगा दान्तोर।
ऐसे प्रयासों की वजह से ही भारत में बाघों की आबादी हर साल बढ़ रही है।,इदना उपय ता मारे भारत ते बुर्रकहना संख्या बड़हेमायता।
भूमि उपयोग परिवर्तन से नदी प्रणाली प्रभावित हो सकती है।,नेल द उपयोग बदले माले ते बेरेल प्रणाली प्रभावित आया पर्रता।
नदी यात्रा के दौरान स्थानीय लोगों की परंपराओं से संपर्क होता है।,बेरेल दायतात सेका नाटे तोर मानेय तंग धारा ने मिले मायहायता।
भारतीय पर्वत श्रृंखला में ट्रेकिंग और पर्वतारोहण का आयोजन किया जाता है।,भारतीय मेटा लाईन ते ट्रेकिंग अन मेटा तरग वालोटा आयोजन कियाना आयता।
नदियों का जल संग्रहण जल संकट को हल करने में मददगार है।,बेरेह न एर्र केहले एर्र संकट तुन हल कीयाला मददगार आन्द।
आलसीराम अलार्म घड़ी को भी निष्क्रिय करता है।,आलसीराम अलार्म घड़ी तून बन्द भी कीन्दूर।
देश के लिए कुछ न कुछ नया करने की ऊर्जा निरंतर बनाए रखे।,देश ता बाटा बातय-बातय पूना कियना ता लाव जरमे कीम्ट।
"लेकिन सबसे ज्यादा चर्चा परेड में Women Power को देखकर हुई, जब कर्त्तव्य पथ पर, केंद्रीय सुरक्षा बलों और दिल्ली पुलिस की महिला टुकड़ियों ने कदमताल शुरू किया तो सभी गर्व से भर उठे।","मति बुबेय वल्ले वड़कना हो मुयतहन लाव तुन हूड़म मंजल आत अस्के आपुना बूतो ता हर्र दे, केन्द्रीय सुरक्षा बलों अन दिल्ली पुलिस तंग मुयतहना गुंदंग सर्रपड डाकंग मूड़ कीतुंग अस्के सपय जन गिर्रदा ते तेपिदतुर।"
नदियों में जलवायु परिवर्तन के प्रभाव का अध्ययन किया जा रहा है।,बेरेह ने एर्र-वेड़ीय बदले माले त प्रभाव त अध्ययन कियाना आयता।
तो मेरी आँखों के सामने यानुंग जामोह लैगो की भी तस्वीर आ रही हैं।,अस्के नावा कोण्डना मुन्के यानंुग जामोह लैगो ना गला मुरेहन मुनेक वायता।
भारतीय समुद्रों की यात्रा में साहस की आवश्यकता होती है।,भारतीय समुन्द त यात्रा तेला त कूबैय जरवत आन्ता।
"दूसरे देशों के वैज्ञानिकों को भी बीमारी, दवाएं और उसके प्रभाव की पूरी जानकारी मिल जाएगी।",दूसोर देशतोर पड़कवालोर कुन गला गिरहो त मत् अन ओनांग दाब ते सपोय पुन्दाना पुट्टार।
"जो सांस्कृतिक कार्यक्रम हुए, उसमें भी करीब डेढ़ हज़ार बेटियों ने हिस्सा लिया था।",अब जो एॅदानंग कर्रसानंग जलसांग आतुंग अवेहने गला अंलाज ते डेडा हजार मियाह हंज मंदलेंग/मतंग।
समुद्र का हर टुकड़ा एक कहानी सुनाता है।,समुन्द त सपोय गटना उद कीसा केन्जीह लेहका आन्ता।
कभी-कभी आलसीराम अपने आपको प्रेरित करने की कोशिश करता है।,बेसके बेसके आलसीराम अपून अपूना बेहला कोशित किनतोर।
कच्छ और जारवेरा नदियाँ सूखी में चलती हैं।,हेमुह अन जारवेटा बेरेह वेतले ते दायतंग।
हिमालय का क्षेत्र भारत की सांस्कृतिक और धार्मिक धरोहर से घिरा हुआ है।,हिमालय त क्षेत्र भारत त रीति-रिवाज अन धार्मिक मुनेतह अरले आता।
समुद्री जीवन की विविधता अद्भुत है।,समुन्द जीवांग न आनी बानी मन्दलेर उद् हट्टो लेहका मन्ता।
नदियों की धारा को समझने के लिए वैज्ञानिक अध्ययन जारी है।,बेरहना पोगा न तुन पुन्दाला बाटा वैज्ञानिक विचार जारी मंता।
वन्य जीवन फोटोग्राफी में जंगली जानवरों के स्वाभाविक पलों को कैद करना महत्वपूर्ण होता है।,वन्य जीवांग न फोटोग्राफी ने कोटूम त जानवार न आपूना उचून पल मेटा सोबाय कीयाना कूबैय जरवत आन्द।
